Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,o1,08-11-16,11-11-16,Second Class,1,Consumer,Nigeria,Abia,South,a1,Furniture,Bookcases,261.96,2,0,41.9136
2,o2,08-11-16,11-11-16,Second Class,2,Consumer,Nigeria,Abia,South,a2,Furniture,Chairs,731.94,3,0,219.582
3,o3,12-06-16,16-06-16,Second Class,3,Corporate,Nigeria,Lagos,West,a3,Office Supplies,Labels,14.62,2,0,6.8714
4,o4,11-10-15,18-10-15,Standard Class,4,Consumer,Nigeria,Kaduna,South,a4,Furniture,Tables,957.5775,5,0.45,-383.031
5,o5,11-10-15,18-10-15,Standard Class,5,Consumer,Nigeria,Kaduna,South,a5,Office Supplies,Storage,22.368,2,0.2,2.5164
6,o6,09-06-14,14-06-14,Standard Class,6,Consumer,Nigeria,Lagos,West,a6,Furniture,Furnishings,48.86,7,0,14.1694
7,o7,09-06-14,14-06-14,Standard Class,7,Consumer,Nigeria,Lagos,West,a7,Office Supplies,Art,7.28,4,0,1.9656
8,o8,09-06-14,14-06-14,Standard Class,8,Consumer,Nigeria,Lagos,West,a8,Technology,Phones,907.152,6,0.2,90.7152
9,o9,09-06-14,14-06-14,Standard Class,9,Consumer,Nigeria,Lagos,West,a9,Office Supplies,Binders,18.504,3,0.2,5.7825
10,o10,09-06-14,14-06-14,Standard Class,10,Consumer,Nigeria,Lagos,West,a10,Office Supplies,Appliances,114.9,5,0,34.47
11,o11,09-06-14,14-06-14,Standard Class,11,Consumer,Nigeria,Lagos,West,a11,Furniture,Tables,1706.184,9,0.2,85.3092
12,o12,09-06-14,14-06-14,Standard Class,12,Consumer,Nigeria,Lagos,West,a12,Technology,Phones,911.424,4,0.2,68.3568
13,o13,15-04-17,20-04-17,Standard Class,13,Consumer,Nigeria,Enugu,South,a13,Office Supplies,Paper,15.552,3,0.2,5.4432
14,o14,05-12-16,10-12-16,Standard Class,14,Consumer,Nigeria,Rivers ,West,a14,Office Supplies,Binders,407.976,3,0.2,132.5922
15,o15,22-11-15,26-11-15,Standard Class,15,Home Office,Nigeria,Imo,Central,a15,Office Supplies,Appliances,68.81,5,0.8,-123.858
16,o16,22-11-15,26-11-15,Standard Class,16,Home Office,Nigeria,Imo,Central,a16,Office Supplies,Binders,2.544,3,0.8,-3.816
17,o17,11-11-14,18-11-14,Standard Class,17,Consumer,Nigeria,Oyo ,Central,a17,Office Supplies,Storage,665.88,6,0,13.3176
18,o18,13-05-14,15-05-14,Second Class,18,Consumer,Nigeria,Kano,West,a18,Office Supplies,Storage,55.5,2,0,9.99
19,o19,27-08-14,01-09-14,Second Class,19,Consumer,Nigeria,Lagos,West,a19,Office Supplies,Art,8.56,2,0,2.4824
20,o20,27-08-14,01-09-14,Second Class,20,Consumer,Nigeria,Lagos,West,a20,Technology,Phones,213.48,3,0.2,16.011
21,o21,27-08-14,01-09-14,Second Class,21,Consumer,Nigeria,Lagos,West,a21,Office Supplies,Binders,22.72,4,0.2,7.384
22,o22,09-12-16,13-12-16,Standard Class,22,Corporate,Nigeria,Kwara ,Central,a22,Office Supplies,Art,19.46,7,0,5.0596
23,o23,09-12-16,13-12-16,Standard Class,23,Corporate,Nigeria,Kwara ,Central,a23,Office Supplies,Appliances,60.34,7,0,15.6884
24,o24,16-07-17,18-07-17,Second Class,24,Consumer,Nigeria,FCT,East,a24,Furniture,Chairs,71.372,2,0.3,-1.0196
25,o25,25-09-15,30-09-15,Standard Class,25,Consumer,Nigeria,Kano,West,a25,Furniture,Tables,1044.63,3,0,240.2649
26,o26,16-01-16,20-01-16,Second Class,26,Consumer,Nigeria,Lagos,West,a26,Office Supplies,Binders,11.648,2,0.2,4.2224
27,o27,16-01-16,20-01-16,Second Class,27,Consumer,Nigeria,Lagos,West,a27,Technology,Accessories,90.57,3,0,11.7741
28,o28,17-09-15,21-09-15,Standard Class,28,Consumer,Nigeria,FCT,East,a28,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
29,o29,17-09-15,21-09-15,Standard Class,29,Consumer,Nigeria,FCT,East,a29,Office Supplies,Binders,9.618,2,0.7,-7.0532
30,o30,17-09-15,21-09-15,Standard Class,30,Consumer,Nigeria,FCT,East,a30,Furniture,Furnishings,124.2,3,0.2,15.525
31,o31,17-09-15,21-09-15,Standard Class,31,Consumer,Nigeria,FCT,East,a31,Office Supplies,Envelopes,3.264,2,0.2,1.1016
32,o32,17-09-15,21-09-15,Standard Class,32,Consumer,Nigeria,FCT,East,a32,Office Supplies,Art,86.304,6,0.2,9.7092
33,o33,17-09-15,21-09-15,Standard Class,33,Consumer,Nigeria,FCT,East,a33,Office Supplies,Binders,6.858,6,0.7,-5.715
34,o34,17-09-15,21-09-15,Standard Class,34,Consumer,Nigeria,FCT,East,a34,Office Supplies,Art,15.76,2,0.2,3.546
35,o35,19-10-17,23-10-17,Second Class,35,Home Office,Nigeria,Imo,Central,a35,Office Supplies,Paper,29.472,3,0.2,9.9468
36,o36,08-12-16,10-12-16,First Class,36,Corporate,Nigeria,Imo,Central,a36,Technology,Phones,1097.544,7,0.2,123.4737
37,o37,08-12-16,10-12-16,First Class,37,Corporate,Nigeria,Imo,Central,a37,Furniture,Furnishings,190.92,5,0.6,-147.963
38,o38,27-12-15,31-12-15,Standard Class,38,Home Office,Nigeria,Imo,Central,a38,Office Supplies,Envelopes,113.328,9,0.2,35.415
39,o39,27-12-15,31-12-15,Standard Class,39,Home Office,Nigeria,Imo,Central,a39,Furniture,Bookcases,532.3992,3,0.32,-46.9764
40,o40,27-12-15,31-12-15,Standard Class,40,Home Office,Nigeria,Imo,Central,a40,Furniture,Chairs,212.058,3,0.3,-15.147
41,o41,27-12-15,31-12-15,Standard Class,41,Home Office,Nigeria,Imo,Central,a41,Technology,Phones,371.168,4,0.2,41.7564
42,o42,10-09-17,15-09-17,Standard Class,42,Corporate,Nigeria,Katsina,Central,a42,Technology,Phones,147.168,4,0.2,16.5564
43,o43,17-07-16,22-07-16,Standard Class,43,Corporate,Nigeria,Lagos,West,a43,Office Supplies,Storage,77.88,2,0,3.894
44,o44,19-09-17,23-09-17,Standard Class,44,Corporate,Nigeria,Kaduna,South,a44,Office Supplies,Storage,95.616,2,0.2,9.5616
45,o45,11-03-16,13-03-16,First Class,45,Corporate,Nigeria,Ekiti,Central,a45,Technology,Accessories,45.98,2,0,19.7714
46,o46,11-03-16,13-03-16,First Class,46,Corporate,Nigeria,Ekiti,Central,a46,Office Supplies,Binders,17.46,2,0,8.2062
47,o47,20-10-14,25-10-14,Second Class,47,Consumer,Nigeria,Delta,Central,a47,Office Supplies,Storage,211.96,4,0,8.4784
